Date,Time,Session,Session Title,Chairs,Presenters,Organizing Groups
11/04,13:30 - 14:30,ME014,"Timing of antimicrobials in sepsis and septic shock - the sooner the better?","",": Laura EVANS; Evangelos GIAMARELLOS-BOURBOULIS","ESCMID Study Group for Bloodstream Infections, Endocarditis and Sepsis (ESGBIES), ESCMID Study Group for Staphylococci and Staphylococcal Diseases (ESGS)"
11/04,13:30 - 14:30,ME015,"PrEP in Europe: Current gaps and solutions","",": Teymur NOORI; Milosz PARCZEWSKI","European AIDS Clinical Society (EACS)"
11/04,13:30 - 14:30,ME016,"Short regimens for treating drug-susceptible and drug-resistant tuberculosis: Insights from guidelines","",": Daria PODLEKAREVA; Raquel DUARTE","European Respiratory Society (ERS)"
11/04,13:30 - 14:30,ME017,"How to navigate Risk Communication in Public Health","",": Christina ROLFHEIM-BYE; Marius GILBERT","ESCMID Study Group for Public Health Microbiology (ESGPHM)"
11/04,13:30 - 14:30,ME018,"Do we need antiviral stewardship in immunocompromised hosts? role of cell-mediated immunity","",": Michelle YONG; Genovefa PAPANICOLAOU","Not specified"
11/04,13:30 - 14:30,SP3,"Top five mistakes in Infection prevention and control","Maeve DOYLE; Barbara Juliane HOLZKNECHT; David ONG; Arjana TAMBIC ANDRASEVIC","","ESCMID Education Subcommittee"
11/04,14:45 - 15:45,ME019,"Healthcare-associated CNS infections","",": Diederik VAN DE BEEK; Alexandra MAILLES","ESCMID Study Group for Infectious Diseases of the Brain (ESGIB)"
11/04,14:45 - 15:45,ME020,"Translation of gut microbiome data to clinical practice: a guide for clinicians","",": Aycan GUNDOGDU; Niranjan NAGARAJAN","ESCMID Study Group for Host and Microbiota Interaction (ESGHAMI)"
11/04,14:45 - 15:45,ME021,"How to make sense out of guidelines and scientific evidence","",": Luigia SCUDELLER; Blin NAGAVCI","ESCMID Guidelines Subcommittee"
11/04,14:45 - 15:45,ME022,"Multidisciplinary management of bone and joint infections: is there a recipe for success?","",": Natividad BENITO; Tiziana ASCIONE","ESCMID Study Group for Lyme Borreliosis (ESGBOR)"
11/04,14:45 - 15:45,ME023,"How to manage and prevent travellers' diarrhoea","",": Tinja LAAVERI; David TRIBBLE","Not specified"
11/04,14:45 - 15:45,ME024,"How to diagnose and treat infectious complications in critically ill patients receiving ECMO support","",": Jordi RIERA; Giacomo GRASSELLI","European Extracorporeal Life Support Organization (EuroELSO)"
11/04,14:45 - 15:45,SP4,"Science Slam - How to Communicate Science with Clarity","Mary HORGAN; Jaroslav HRABAK; Nina KHANNA; Preeti MALANI; Emily G. MCDONALD; Joshua NOSANCHUK; Jes�s RODR�GUEZ-BA�O","","ESCMID Education Subcommittee"
11/04,15:00 - 16:45,SCI1,"UNGA political declaration on AMR: moving from commitments to action - Science to inform policy: Implementing UNGA targets on AMR","Onyebuchi CHUKWU; Holger ROHDE","The overall impact of currently known AMR interventions: Joseph LEWNARD | Reducing AMR-related mortality: monitoring and achieving the 10% reduction by 2030: Yvan HUTIN | Monitoring and achieving meaningful reductions in antimicrobial use in the animal health sector: Chantal MOREL | Global antibiotic policy: achieving the global 70 per cent access target: Mike SHARLAND | Accelerating One Health action in agrifood systems to meet UNGA commitments on AMR: Junxia SONG | Setting and implementation targets at the country level: Tochi OKWOR","Not specified"
11/04,16:15 - 18:15,EW025,"AMR surveillance: current challenges and new perspectives","Tomislav MESTROVIC","The essentials of GRAM project: data sources, methodology and challenges in estimating AMR burden: Authia GRAY | Networks for surveillance of AMR in animal pathogens: Lucie COLLINEAU | Transition to genomic-based methodology for surveillance and outbreak detection to effectively combact AMR: Camilla WIUFF COIA | Implementing and running hospital-wide genomic surveillance of pathogens: Alexander MELLMANN","ESCMID Education Subcommittee, ESCMID Study Group for Antimicrobial Resistance Surveillance (ESGARS), ESCMID Study Group for Veterinary Microbiology (ESGVM)"
11/04,16:15 - 18:15,EW026,"New insights into antifungal agents and resistance","Anuradha CHOWDHARY; Jon SALMANTON-GARCIA","Emerging resistance in Candida tropicalis: Sharon CHEN | Mechanisms of resistance in Candida glabrata: David PERLIN | Surveillance of resistance in Aspergillus species: Maiken Cavling ARENDRUP | Environmental surveillance for antifungal resistance: Eveline SNELDERS","Not specified"
11/04,16:15 - 18:15,EW027,"Going Viral! Phage Therapy Clinical rounds","Gregory GERMAN; Ameneh KHATAMI","Clinical cases and lessons from the STAMP protocol: Holly SINCLAIR | Difficult cases treated with phages: Ghady HAIDAR | Challenging osteoarticular cases treated with phages: Tristan FERRY | Treating urinary tract infections with phages: dream or reality?: Saima ASLAM","ESCMID Study Group for Non-traditional Antibacterial Therapy (ESGNTA)"
11/04,16:15 - 18:15,EW028,"Addressing infection challenges in immunocompromised patients: a case-based exploration","Maddalena GIANNELLA; Asma NASIM","Challenges in managing gastrointestinal infections in patients with primary immunodeficiency: Effrossyni GKRANIA-KLOTSAS | Respiratory infections in patients receiving CAR-T cells or bispecific monoclonal antibodies: Gemma REYNOLDS | Mycobacterial infections in patients with HIV infection: Graeme Ayton MEINTJES | Breakthrough fungal infections in haematopoietic cancer and in stem cell transplantation: Dimitrios P. KONTOYIANNIS","ESCMID Study Group for Respiratory Viruses (ESGREV), International Immunocompromised Host Society (ICHS)"
11/04,16:15 - 18:15,EW029,"Impact of diabetes on infectious diseases: what should we know?","Mark G. J. DE BOER; Suzanne VAN ASTEN","The impact of diabetes and host-pathogen interaction and gut microbiome: Reinout VAN CREVEL | Diabetes and invasive fungal infections: Jochem BUIL | Viral infections and diabetes: is there a connection?: Malin FLODSTR�M-TULLBERG | Pathogenesis of diabetic wound infection:  TBA","Not specified"
11/04,16:15 - 18:15,EW030,"Primer on infection prevention and control: the crucial support by clinical microbiology","Nico Tom MUTTERS; Margreet C. VOS","Microbial fundamentals: building blocks of infection prevention and control: Laurence ARMAND-LEFEVRE | Optimising environmental sampling in infection control: rational use of the microbiology laboratory: John E. COIA | The crucial role of molecular typing in infection control: Stefanie KAMPMEIER | How can we link diagnostic and antibiotic stewardship?: Constantinos TSIOUTIS","ESCMID Study Group for Nosocomial Infections (ESGNI), EUCIC Steering Committee"
11/04,16:15 - 18:15,SP5,"Multidisciplinary approach to early sepsis management","Markus BALD; Aleksandra DAVIDOVIC; Charalambos DOKOS","","ESCMID Education Subcommittee"
11/04,17:00 - 18:30,SCI2,"UNGA political declaration on AMR: moving from commitments to action - Policy to drive action: establishing the independent panel on evidence for action on AMR and updating the Global Action Plan","Lothar WIELER; Annelies ZINKERNAGEL","Progress update by the Quadripartite Joint Secretariat on setting up the panel and updating the GAP: Jean-Pierre NYEMAZI | Lessons from the Intergovernmental Panel on Climate Change: Abdalah MOKSSIT | Q&A/Panel discussion: Sabiha ESSACK","Not specified"
12/04,08:30 - 09:30,EF003,"On the frontiers of vaccine driven prevention","Maria GANCZAK","A Pragmatic Randomized Trial to Evaluate Bivalent RSV Prefusion F Protein–based Vaccine Effectiveness for Preventing RSV Hospitalizations in Older Adults (DAN-RSV): Rationale & Trial Design: Mats LASSEN | A phase 1 study with an innovative approach for an HIV-1 prophylactic vaccine: Pedro GARBES | Changes in dose interval can impact T cell responses but not antibody levels in individuals receiving the modified vaccinia Ankara Mpox vaccine: Joseph PARSONS | Six-month Immunogenicity of mRNA-1345 RSV Vaccine in Adults Aged ≥60 Years: Mihir DESAI | Comparative Immune Responses to Homologous and Heterologous SARS-CoV-2 Vaccination Using DNA and Protein Platforms: Sonia PRIETO MARTIN GIL | Quantitative correlates of protection against SARS-CoV-2 variants using individual-level reconstructed antibody kinetics: Tim RUSSELL | Effectiveness of the 2023-24 seasonal influenza vaccine in UK healthcare workers: results from the SIREN prospective cohort study: Luke MCGEOCH | Immunogenicity and safety of second COVID-19 booster and Influenza vaccination coadministration: Isabell WAGENH�USER | The degree of immunization against the Measles virus of the infant population in Sibiu county, Romania: Stefan-Vasile CRISTEA","Not specified"
12/04,08:30 - 09:30,EF004,"Pharmacology from bench to the bedside","Alina Karoline NUSSBAUMER-PR�LL","Enterococcus faecalis impairs Escherichia coli response to antibiotics in a dual-species intracellular infection model: Francoise VAN BAMBEKE | In vitro investigations of ceftazidime-avibactam and fosfomycin against carbapenemase-producing Enterobacterales clinical isolates: Miklas MARTENS | In vivo activity and PK of the novel siderophore-cephalosporin AR-2126 in a lethal lung infection model in mice infected with a carbapenem-resistant Pseudomonas aeruginosa following subcutaneous administration: Wolfgang WICHA | Synergistic Potency Unveiled: β-Lactam and β-Lactamase Inhibitor Combination against Mycobacterium abscessus with Dual Action of β-Lactamase Inhibition and Multi-Target Receptor Inactivation: Eunjeong SHIN | Pharmacokinetic/pharmacodynamic evaluation of benzoxaborole MRX-5 in mouse pneumonia model with Mycobacterium abscessus infection: Wen WANG | Pharmacokinetic/pharmacodynamic modelling of immune response and meropenem activity in immunocompetent and neutropenic mouse lung infection models: Rapha�l SAPORTA | Implementation of a model-based nomogram for amoxicillin precision dosing in patients suspected of infective endocarditis: preliminary results of the NOMOBA-AMX multicentre study: Paul LE TURNIER | No time to waste: hospital-wide assessment of IV- vial and line residuals and impact on target attainment.: Dorian VANNESTE | Population pharmacokinetic modelling of colistin in critically-ill patients on sustained low-efficiency dialysis: implications for dose selection: Dominika FUHS","Not specified"
12/04,08:30 - 10:30,EW039,"Are urinary tract infections still the same?","Suzanne GEERLINGS; Agnes Maria SONNEVEND","Update on paediatric UTI: Michael BUETTCHER | Diagnosis and treatment of UTI in the era of antimicrobial resistance: Jennifer KRANZ | Can UTI be prevented?: Chris HARDING | Fungal and parasitic infections of the urinary tract: Gladys MBWANJI","Not specified"
12/04,08:30 - 10:30,EW040,"OPAT: from aged wine to new vintage","Birgit KOCH; Sonia LUQUE","OPAT: principles, practice and checklists: Charlotte QUINTENS | COPAT: complex outpatient parenteral antimicrobial therapy: Ronald Andrew SEATON | Antimicrobial stability and other challenges for OPAT practice?: Mark GILCHRIST | New OPAT safety and efficacy data to guide practice: Matthew RAWLINS","ESCMID PK/PD of Anti-Infectives Study Group (EPASG), Society of Infectious Diseases Pharmacists (SIDP)"
12/04,08:30 - 10:30,EW041,"RSV infections: diagnosis, surveillance and treatment in the advent of vaccines","Monika REDLBERGER-FRITZ; Makeda SEMRET","Costs of RSV infection, compared to other respiratory viruses: Barbara RATH | Virology and host interactions of RSV: Peter OPENSHAW | RSV surveillance in the EU/EEA in the vaccine era: Eeva BROBERG | RSV fusion inhibitors and monoclonals: current status and future developments: Louis BONT","ESCMID Study Group for Respiratory Viruses (ESGREV), International Society for Influenza and other Respiratory Viruses (ISIRV)"
12/04,08:30 - 10:30,EW042,"Traumatic wound infections: diagnosis and treatment options","Amparo FERN�NDEZ-RODR�GUEZ; Veroniek SAEGEMAN","Multidrug-resistant infections after trauma in warzone: Shehan HETTIARATCHY | Fungal infections during natural disasters: Anuradha CHOWDHARY | Bacteriophage therapy for multidrug-resistant wound infections in trauma: Tristan FERRY | Infection of burn wounds: Nur BENZONANA","ESCMID Study Group for Forensic and Postmortem Microbiology (ESGFOR), ESCMID Study Group for Non-traditional Antibacterial Therapy (ESGNTA), SEIMC (Sociedad Espa�ola Enfermedades Infecciosas Microbiolog�a Clinica), International Society of Antimicrobial Chemotherapy (ISAC)"
12/04,08:30 - 10:30,M4,"Malaria differential diagnosis (beginners)","Debbie NOLDER; Claire ROGERS","","Not specified"
12/04,08:30 - 10:30,OS001,"One Health means resistance everywhere","Alessandra CARATTOLI; Prasannakumar PALANIKUMAR","Decoding the role of blaCPE-carrying plasmids on wings: A holistic view using the One Health approach: Sandra A. MART�NEZ-�LVAREZ | A novel isolation room model leveraging culture-independent Hi-C metagenomics for tracking antimicrobial resistance transmission between patients and hospital environmental reservoirs: Vanessa KOH | Deciphering the pathogenic potentials and epidemiological identities of Staphylococcus pseudintermedius colonizing companion dogs in Sao Paulo: Ikechukwu Benjamin MOSES | Recent progress towards integrated surveillance of antimicrobial resistance in France: Lucie COLLINEAU | Exploring the plasmidome of 3rd generation cephalosporin-resistant Enterobacterales in wild birds: Insights into horizontal gene transfer and AMR dissemination: B�lint TIMMER | Emergence of mobile colistin resistance in Klebsiella at human-animal-environment interface in Bangladesh: Saifur RAHMAN | Unveiling the invisible: antimicrobial resistance genes and pathogenic microbial diversity in sewage of North India's largest industrial hub, A metagenomic perspective: Inderjit SINGH | Culturomics as a tool for ONE HEALTH approach: Unveiling the role of unknown microorganisms as antibiotic resistance carriers in wastewater samples: Eleni OURANOU | One Health intervention impacts on antibiotic resistance in Denmark, England and Senegal: A mathematical model comparison: Gwen KNIGHT | Clinically important sequence types and resistance genes in Enterobacteriaceae from coastal environments and gulls: Vanessa SILVA","Not specified"
12/04,08:30 - 10:30,OS002,"Translating metagenomics into clinical practice","Benjamin Peter HOWDEN; Paula M�LLING","Nanopore metagenomic sequencing for rapid bloodstream infection diagnostics evaluated in a prospective observational study: Hans Linde NIELSEN | Interpretative Criteria for Adjudicating Clinical Significance to Next-Generation Sequencing Results from Bronchial-alveolar Lavage and Bronchial Wash.: Jose ALEXANDER | Implementing same-day respiratory metagenomic diagnostics in paediatric intensive care: Robbie HAMMOND | Detection of pathogenic microorganisms using metagenomic next-generation sequencing in ICU patients with ongoing antibiotic therapy: Torsten SCHROEDER | Analysis of metagenomic pathogen detection compared to conventional diagnostics: clinical usage and relevance for patient outcomes: Ekkehard SIEGEL | Same-day pan-microbial metagenomics for personalized therapy and pathogen surveillance on the intensive care unit: a single-centre prospective study: Luke Blagdon SNELL | Evaluation of the diagnostic efficacy of targeted next-generation sequencing in the detection of pathogens in bronchoalveolar lavage fluid from patients with lower respiratory tract infections in ICU: Bowen RAN | Prognostic and diagnostic value of Next-generation sequencing in female reproductive tract infection and HPV persistence: Chunyan PENG | A promising approach to rapid, non-culture diagnosis of invasive fungal infections (IFIs) by targeted next-generation sequencing (tNGS): M. Hong NGUYEN | Implementation of Clinical Metagenomics in France: Insights from a Five-Years Study: Marion DUTKIEWICZ","Not specified"
12/04,08:30 - 10:30,SY031,"To screen or not to screen prior to transplant?","Laura Alicia BARCAN; Oscar LEN","HHV-8 Screening: Alessandra MULARONI | TB screening and prevention in endemic regions: Rubina NAQVI | Screening for and prevention of chagas in immunocompromised hosts: Marcelo Victor RADISIC | Screening of lung donors for Molicutes: Michael G ISON","Not specified"
12/04,08:30 - 10:30,SY032,"New insights into Candida pathogenesis","Aleksandra BARAC; Joshua NOSANCHUK","Insights into the evolution of Candida under antifungal pressure: Attila GACSER | How do Candida extracellular vesicles modify virulence during disease?: Leonardo NIMRICHTER | The commensal to pathogen transition: kind to killer: Ilse D. JACOBSEN | Fungal-bacterial interactions: who wins?: Rebecca HALL","Not specified"
12/04,08:30 - 10:30,SY033,"Single-cell approaches to dissect cellular phenotypic heterogeneity of bacterial pathogen populations.","Christian Stephan LENTZ; Annelies ZINKERNAGEL","Adaptive evolution and phenotypic heterogeneity of bacterial pathogens during infections: Christoph ERNST | Single-cell imaging and heterogeneity in antimicrobial resistance: Stefano PAGLIARA | Single-cell RNAseq and heterogeneity in bacterial transcription: Anna KUCHINA | Dissecting the function of individual bacteria in their spatial context: Knut DRESCHER","Not specified"
12/04,08:30 - 10:30,SY034,"Endoscopy: infection risks and mitigation","Elisabeth PRESTERL; Gordon RAMAGE","Should we be concerned about infection from contaminated endoscopes?: Claire AUMERAN | Prevention of multidrug-resistant infections from contaminated duodenoscopes: Margreet C. VOS | Understanding the causes of medical device contamination: it is all biofilm!: Roberto RUSCONI | Does the European medical Device Regulation bring us safer duodenoscopes?: Markus HELL","ESCMID Study Group for Biofilms (ESGB), ESCMID Study Group for Nosocomial Infections (ESGNI)"
12/04,08:30 - 10:30,SY035,"Barriers to TB/HIV elimination in low- and high-incidence settings","Daria PODLEKAREVA","HIV and TB epidemic: the storm hasn't subsided yet: Tetiana KOVAL | Approaches for latent and active TB screening in people living with HIV: Raimonda MATULIONYTE | Integration of HIV and TB care to improve patient outcome in resource-limited settings: Akaki ABUTIDZE | How researchers can influence policy and practice in HIV/TB care: Jens D. LUNDGREN","ESCMID Study Group for Mycobacterial Infections (ESGMYC), Euroguidelines in Central and Eastern Europe Network Group"
12/04,08:30 - 10:30,SY036,"The quality of antibiotics used in the communities of LMICs","Thi Thuy Nga DO; Christina OBIERO","The quality of antibiotics and their potential impact on patient outcome and AMR: Paul NEWTON | Community antibiotic access and use in Sub-Sahara Africa: Samuel AFARI-ASIEDU | Encountered challenges and reflections on conducting multi-country medicine quality studies: Noudy SENGXEU | Confusion in appearance of common used antibiotics in LMICs: Heiman WERTHEIM","Not specified"
12/04,08:30 - 10:30,SY037,"Unveiling the challenges: nosocomial infections in ECMO-supported patients","Antonios KATSOUNAS; Jordi RIERA","Source of infection and pathogens: Christian ECKMANN | Prophylaxis and empiric treatment: Giacomo GRASSELLI | Diagnostic criteria and definitions: Graeme MACLAREN | Microbial films: Marta HERN�NDEZ-MENESES","European Extracorporeal Life Support Organization (EuroELSO)"
12/04,08:30 - 11:30,EW038,"EUCAST Educational Workshop","Marlene AMARA; Alasdair P. MACGOWAN","EUCAST update: S�ren G. GATERMANN | Setting clinical breakpoints, assessing evidence: Anouk Edwina MULLER | Benzylpenicillin susceptibility testing of S. pneumoniae by disk diffusion: Gunnar KAHLMETER | What to do when there are no breakpoints: Barbara Juliane HOLZKNECHT | Detection of resistance mechanisms: Christian GISKE","EUCAST Steering Committee"
12/04,08:30 - 12:00,TAE1,"TAE Day: morning round","Murat AKOVA; Marc J.M. BONTEN; Anu KANTELE; Xavier LESCURE; Preeti MALANI; Evelina TACCONELLI","","Not specified"
12/04,09:30 - 10:30,EF005,"It's all in the blood","Colin R. MACKENZIE","Limited delayed incubation of blood culture bottles has limited effect on yield and time-to-positivity: Liselotte HARDY | Unnecessary clinical interventions due to blood culture contamination in a large Canadian hospital network: Clayton Wallace HALL | Utility of sigmoidal growth curve when no organisms are seen on Gram stain in positive blood cultures: Declan CRILLY | Clinical microbiology laboratory consultancy to optimize blood culture workflow: Analysis of results: Carlotta MAGRI | Comparison of Syndromic Sepsis Panel and Standard Blood Culture Results: Contribution to Patient Management: Sevim Gayenur BUYUKBERBER | Predicting blood culture positivity using machine learning with complete blood and differential counts in a tertiary care hospital of Turkiye: �zlem T�RKMEN RECEN | Performance of direct pathogen and β-lactamase detection workflow using MALDI-TOF MS from positive blood culture specimens: Kosuke KOSAI | Waiting for follow-up blood cultures is not always necessary for diagnosis of central line-associated bloodstream infections: Lieke VAN BALEN | Economic and health gains associated with the adoption of the 2-hour phenotypic antimicrobial susceptibility testing in patients with bloodstream infection in Europe: Cid�lia PINA-VAZ","Not specified"
12/04,09:30 - 10:30,EF006,"Emerging developments in antifungal pharmacology","Roger BR�GGEMANN","NATURE-US: the natural history of antifungal failure in invasive candidiasis: Luis OSTROSKY-ZEICHNER | The antidepressant vortioxetine enhances resistance toward multiple azoles: Silvia RIZZO | Enhancing Isavuconazole Pharmacokinetics: A Comprehensive Population (PPK) Model from Three Phase 3 Trials and Covariate Exploration: Desai AMIT | Identification of efflux inhibitors for Candida albicans through a drug repurposing strategy: D�bora MARQUES | Clinical outcomes of micafungin 100 mg vs. 150 mg daily for the treatment of Candida auris fungemia: Jysheng HOU | Resolution of clinical signs in adults with invasive candidiasis and/or candidaemia treated with rezafungin or caspofungin: ReSTORE and STRIVE trial pooled analysis: George R THOMPSON | Ibrexafungerp is effective in treatment of patients with candidiasis, including candidaemia, caused by Candida auris: a multicentre, open-label study (CARES): Marisa H. MICELI | High-dose isavuconazole therapy is well-tolerated and significantly improves survival in a fruit fly model of invasive mucormycosis: Sebastian WURSTER | Pharmacokinetics, pharmacodynamics, safety, and efficacy of innovative dosing schedules of liposomal amphotericin B for treatment of experimental invasive pulmonary aspergillosis in persistently neutropenic rabbits: Ruta PETRAITIENE","Not specified"
12/04,09:30 - 10:30,MEET60,"Genomic and Molecular Diagnostics Study Group open meeting (ESGMD)","Hege Vangstein AAMOT; Adrian EGLI; Mario RAMIREZ; Belen RODRIGUEZ-SANCHEZ; John W. A. ROSSEN","","Not specified"
12/04,09:30 - 10:30,MEET61,"Anaerobic Infections Study Group open meeting (ESGAI)","Michael BUHL; Yann DUMONT; Samo JEVERICA; Trefor MORRIS; Jozsef SOKI","","Not specified"
12/04,09:30 - 10:30,SY043,"Year in infection control","Nico Tom MUTTERS; Ermira TARTARI",": Andrew James STEWARDSON; Kalisvar MARIMUTHU","Not specified"
12/04,10:30 - 10:50,IPT01,"Clinical application of the UllCORE BSI Test - deepull's direct-from-blood multiplex PCR","","Clinical application of the UllCORE BSI Test - deepull's direct-from-blood multiplex PCR: Kimberle CHAPIN","Not specified"
12/04,11:00 - 11:20,IPT02,"Race against resistance: understanding the impact of AMR on cancer care and advancing solutions","","Race against resistance: understanding the impact of AMR on cancer care and advancing solutions: Matteo BASSETTI","Not specified"
12/04,11:00 - 12:00,EF014,"Infection control and prevention around the World","Divyashree SHANTHAMURTHY","WHO Global Survey on Infection Prevention and Control Minimum Requirements: Laying the Foundation for 2030 Global Targets: Peter BISCHOFF | Healthcare-associated infections in african intensive care units: A muliticentre prospective cohort study: Bamba GAYE | Epidemiology of community-acquired versus hospital-acquired sepsis in acute hospitals in Ireland - 2016-2022.: Emer LIDDY | Epidemiology of Central Line-Associated Bloodstream Infections (CLABSIs) in a Network of Ten Hospitals across Greece: A 30-Month Surveillance Study – GRIPP-SNF Network: Ioannis KOPSIDAS | Characterisation of plasmids disseminating antibiotic resistance in Klebsiella pneumoniae isolates from Pretoria, South Africa: Theevasha GOVENDER | Transmission dynamics of carbapenemase-producing bacteria between hospital and household settings in Benin: Kevin Mael Patrick Zinsou SINTONDJI | Evaluating the impact of a rapid screening test for carbapenem-resistant organisms in Brazilian intensive care units.: Matias SALOM�O | Genomic Insights into the Rapid Rise of Pseudomonas aeruginosa ST463: A High-Risk Clone's Adaptive Strategy in China: Xu DONG | Nanopore long-read only genome assembly for public health surveillance of Enterobacterales bloodstream infections and plasmid epidemiology in England: A pilot study: Dorottya NAGY","Not specified"
